e,n_total,n_screened,effect,duration_months,total_cost
0.8366666666666667,66.0,103.5375,36.900999999999996,32.00833333333333,8688443.75
0.8425,66.0,104.259375,36.94649999999999,32.16875,8701798.4375
0.8483333333333334,64.0,101.80000000000001,36.992000000000004,31.622222222222224,8531300.0
0.8541666666666667,64.0,102.50000000000001,37.0375,31.777777777777782,8544250.0
0.86,64.0,103.2,37.08299999999999,31.933333333333334,8557200.0
0.8658333333333333,64.0,103.9,37.1285,32.08888888888889,8570150.0
0.8716666666666667,64.0,104.60000000000001,37.174,32.24444444444445,8583100.0
0.8775,62.0,102.00937499999999,37.2195,31.66875,8410173.4375
0.8833333333333333,62.0,102.6875,37.265,31.819444444444443,8422718.75
0.8891666666666667,62.0,103.365625,37.3105,31.970138888888886,8435264.0625
0.895,62.0,104.04375,37.355999999999995,32.12083333333334,8447809.375
0.9008333333333334,62.0,104.721875,37.40149999999999,32.27152777777778,8460354.6875
0.9066666666666667,62.0,105.4,37.447,32.422222222222224,8472900.0
0.9125000000000001,60.0,102.65625000000001,37.4925,31.812500000000004,8297140.625
0.9183333333333333,60.0,103.3125,37.538,31.958333333333332,8309281.25
0.9241666666666667,60.0,103.96875,37.5835,32.10416666666667,8321421.875
0.9299999999999999,60.0,104.625,37.62899999999999,32.25,8333562.5
0.9358333333333333,60.0,105.28125,37.6745,32.39583333333333,8345703.125
0.9416666666666667,60.0,105.9375,37.72,32.54166666666667,8357843.75
0.9475,58.0,103.04062499999999,37.765499999999996,31.897916666666664,8179251.5625
0.9533333333333334,58.0,103.67500000000001,37.81099999999999,32.03888888888889,8190987.5
0.9591666666666667,58.0,104.309375,37.856500000000004,32.17986111111111,8202723.4375
0.9650000000000001,58.0,104.94375000000001,37.902,32.32083333333334,8214459.375
0.9708333333333333,58.0,105.578125,37.94749999999999,32.46180555555556,8226195.3125
0.9766666666666667,58.0,106.2125,37.993,32.602777777777774,8237931.25
0.9825,56.0,103.16250000000001,38.0385,31.925,8056506.25
0.9883333333333333,56.0,103.77499999999999,38.084,32.06111111111111,8067837.5
0.9941666666666666,56.0,104.3875,38.1295,32.19722222222222,8079168.75
1.0,56.0,105.0,38.175,32.33333333333333,8090500.0
